Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2023,01,01,35.9,1,Y
IDCJAC0010,086338,2023,01,02,32.0,1,Y
IDCJAC0010,086338,2023,01,03,21.1,1,Y
IDCJAC0010,086338,2023,01,04,18.7,1,Y
IDCJAC0010,086338,2023,01,05,21.6,1,Y
IDCJAC0010,086338,2023,01,06,25.6,1,Y
IDCJAC0010,086338,2023,01,07,30.2,1,Y
IDCJAC0010,086338,2023,01,08,31.9,1,Y
IDCJAC0010,086338,2023,01,09,26.2,1,Y
IDCJAC0010,086338,2023,01,10,21.6,1,Y
IDCJAC0010,086338,2023,01,11,29.9,1,Y
IDCJAC0010,086338,2023,01,12,24.0,1,Y
IDCJAC0010,086338,2023,01,13,24.2,1,Y
IDCJAC0010,086338,2023,01,14,37.6,1,Y
IDCJAC0010,086338,2023,01,15,20.6,1,Y
IDCJAC0010,086338,2023,01,16,27.0,1,Y
IDCJAC0010,086338,2023,01,17,37.2,1,Y
IDCJAC0010,086338,2023,01,18,19.9,1,Y
IDCJAC0010,086338,2023,01,19,19.3,1,Y
IDCJAC0010,086338,2023,01,20,21.0,1,Y
IDCJAC0010,086338,2023,01,21,23.0,1,Y
IDCJAC0010,086338,2023,01,22,23.4,1,Y
IDCJAC0010,086338,2023,01,23,28.0,1,Y
IDCJAC0010,086338,2023,01,24,28.6,1,Y
IDCJAC0010,086338,2023,01,25,30.0,1,Y
IDCJAC0010,086338,2023,01,26,21.6,1,Y
IDCJAC0010,086338,2023,01,27,26.8,1,Y
IDCJAC0010,086338,2023,01,28,34.2,1,Y
IDCJAC0010,086338,2023,01,29,23.8,1,Y
IDCJAC0010,086338,2023,01,30,21.7,1,Y
IDCJAC0010,086338,2023,01,31,22.2,1,Y
IDCJAC0010,086338,2023,02,01,21.0,1,N
IDCJAC0010,086338,2023,02,02,21.3,1,N
IDCJAC0010,086338,2023,02,03,18.8,1,N
IDCJAC0010,086338,2023,02,04,20.7,1,N
IDCJAC0010,086338,2023,02,05,19.8,1,N
IDCJAC0010,086338,2023,02,06,20.9,1,N
IDCJAC0010,086338,2023,02,07,20.4,1,N
IDCJAC0010,086338,2023,02,08,22.2,1,Y
IDCJAC0010,086338,2023,02,09,26.4,1,N
IDCJAC0010,086338,2023,02,10,26.7,1,N
IDCJAC0010,086338,2023,02,11,25.7,1,N
IDCJAC0010,086338,2023,02,12,20.7,1,N
IDCJAC0010,086338,2023,02,13,20.9,1,N
IDCJAC0010,086338,2023,02,14,22.2,1,N
IDCJAC0010,086338,2023,02,15,32.4,1,N
IDCJAC0010,086338,2023,02,16,37.2,1,N
IDCJAC0010,086338,2023,02,17,40.5,1,N
IDCJAC0010,086338,2023,02,18,24.9,1,N
IDCJAC0010,086338,2023,02,19,27.9,1,N
IDCJAC0010,086338,2023,02,20,24.0,1,N
IDCJAC0010,086338,2023,02,21,22.2,1,N
IDCJAC0010,086338,2023,02,22,30.6,1,N
IDCJAC0010,086338,2023,02,23,32.4,1,N
IDCJAC0010,086338,2023,02,24,32.3,1,N
IDCJAC0010,086338,2023,02,25,26.7,1,N
IDCJAC0010,086338,2023,02,26,23.4,1,N
IDCJAC0010,086338,2023,02,27,20.2,1,N
IDCJAC0010,086338,2023,02,28,17.6,1,N
IDCJAC0010,086338,2023,03,01,21.1,1,Y
IDCJAC0010,086338,2023,03,02,21.7,1,Y
IDCJAC0010,086338,2023,03,03,19.8,1,Y
IDCJAC0010,086338,2023,03,04,31.4,1,Y
IDCJAC0010,086338,2023,03,05,32.9,1,Y
IDCJAC0010,086338,2023,03,06,25.3,1,Y
IDCJAC0010,086338,2023,03,07,23.2,1,Y
IDCJAC0010,086338,2023,03,08,19.4,1,Y
IDCJAC0010,086338,2023,03,09,22.1,1,Y
IDCJAC0010,086338,2023,03,10,24.0,1,Y
IDCJAC0010,086338,2023,03,11,24.7,1,Y
IDCJAC0010,086338,2023,03,12,20.7,1,Y
IDCJAC0010,086338,2023,03,13,22.4,1,Y
IDCJAC0010,086338,2023,03,14,30.5,1,Y
IDCJAC0010,086338,2023,03,15,22.9,1,Y
IDCJAC0010,086338,2023,03,16,28.5,1,Y
IDCJAC0010,086338,2023,03,17,24.6,1,Y
IDCJAC0010,086338,2023,03,18,36.2,1,Y
IDCJAC0010,086338,2023,03,19,19.0,1,Y
IDCJAC0010,086338,2023,03,20,20.8,1,Y
IDCJAC0010,086338,2023,03,21,19.4,1,Y
IDCJAC0010,086338,2023,03,22,22.8,1,Y
IDCJAC0010,086338,2023,03,23,22.6,1,Y
IDCJAC0010,086338,2023,03,24,21.6,1,Y
IDCJAC0010,086338,2023,03,25,19.6,1,Y
IDCJAC0010,086338,2023,03,26,19.9,1,Y
IDCJAC0010,086338,2023,03,27,18.3,1,Y
IDCJAC0010,086338,2023,03,28,20.9,1,Y
IDCJAC0010,086338,2023,03,29,18.5,1,Y
IDCJAC0010,086338,2023,03,30,19.1,1,Y
IDCJAC0010,086338,2023,03,31,19.4,1,Y
IDCJAC0010,086338,2023,04,01,16.4,1,Y
IDCJAC0010,086338,2023,04,02,18.3,1,Y
IDCJAC0010,086338,2023,04,03,22.6,1,Y
IDCJAC0010,086338,2023,04,04,21.7,1,Y
IDCJAC0010,086338,2023,04,05,18.4,1,Y
IDCJAC0010,086338,2023,04,06,26.3,1,Y
IDCJAC0010,086338,2023,04,07,19.9,1,Y
IDCJAC0010,086338,2023,04,08,18.0,1,Y
IDCJAC0010,086338,2023,04,09,15.5,1,Y
IDCJAC0010,086338,2023,04,10,15.2,1,Y
IDCJAC0010,086338,2023,04,11,19.1,1,Y
IDCJAC0010,086338,2023,04,12,19.3,1,Y
IDCJAC0010,086338,2023,04,13,22.8,1,Y
IDCJAC0010,086338,2023,04,14,25.4,1,Y
IDCJAC0010,086338,2023,04,15,21.2,1,Y
IDCJAC0010,086338,2023,04,16,17.2,1,Y
IDCJAC0010,086338,2023,04,17,20.7,1,Y
IDCJAC0010,086338,2023,04,18,22.8,1,Y
IDCJAC0010,086338,2023,04,19,17.5,1,Y
IDCJAC0010,086338,2023,04,20,18.5,1,Y
IDCJAC0010,086338,2023,04,21,19.0,1,Y
IDCJAC0010,086338,2023,04,22,19.2,1,Y
IDCJAC0010,086338,2023,04,23,19.0,1,Y
IDCJAC0010,086338,2023,04,24,24.9,1,Y
IDCJAC0010,086338,2023,04,25,25.9,1,Y
IDCJAC0010,086338,2023,04,26,24.6,1,Y
IDCJAC0010,086338,2023,04,27,22.6,1,Y
IDCJAC0010,086338,2023,04,28,21.6,1,Y
IDCJAC0010,086338,2023,04,29,15.9,1,Y
IDCJAC0010,086338,2023,04,30,16.3,1,Y
IDCJAC0010,086338,2023,05,01,18.1,1,N
IDCJAC0010,086338,2023,05,02,20.3,1,N
IDCJAC0010,086338,2023,05,03,15.7,1,N
IDCJAC0010,086338,2023,05,04,15.6,1,N
IDCJAC0010,086338,2023,05,05,17.9,1,N
IDCJAC0010,086338,2023,05,06,13.5,1,N
IDCJAC0010,086338,2023,05,07,13.4,1,N
IDCJAC0010,086338,2023,05,08,15.2,1,N
IDCJAC0010,086338,2023,05,09,16.5,1,N
IDCJAC0010,086338,2023,05,10,15.3,1,N
IDCJAC0010,086338,2023,05,11,18.4,1,N
IDCJAC0010,086338,2023,05,12,18.4,1,N
IDCJAC0010,086338,2023,05,13,16.8,1,N
IDCJAC0010,086338,2023,05,14,20.7,1,N
IDCJAC0010,086338,2023,05,15,22.1,1,N
IDCJAC0010,086338,2023,05,16,13.7,1,N
IDCJAC0010,086338,2023,05,17,14.8,1,N
IDCJAC0010,086338,2023,05,18,13.7,1,N
IDCJAC0010,086338,2023,05,19,14.6,1,N
IDCJAC0010,086338,2023,05,20,15.0,1,N
IDCJAC0010,086338,2023,05,21,14.9,1,N
IDCJAC0010,086338,2023,05,22,16.4,1,N
IDCJAC0010,086338,2023,05,23,16.8,1,N
IDCJAC0010,086338,2023,05,24,15.9,1,N
IDCJAC0010,086338,2023,05,25,15.0,1,N
IDCJAC0010,086338,2023,05,26,14.4,1,N
IDCJAC0010,086338,2023,05,27,15.8,1,N
IDCJAC0010,086338,2023,05,28,16.5,1,N
IDCJAC0010,086338,2023,05,29,17.0,1,N
IDCJAC0010,086338,2023,05,30,18.7,1,N
IDCJAC0010,086338,2023,05,31,17.7,1,N
IDCJAC0010,086338,2023,06,01,14.7,1,Y
IDCJAC0010,086338,2023,06,02,15.2,1,Y
IDCJAC0010,086338,2023,06,03,15.2,1,Y
IDCJAC0010,086338,2023,06,04,18.4,1,Y
IDCJAC0010,086338,2023,06,05,20.1,1,Y
IDCJAC0010,086338,2023,06,06,17.4,1,Y
IDCJAC0010,086338,2023,06,07,18.4,1,Y
IDCJAC0010,086338,2023,06,08,16.9,1,Y
IDCJAC0010,086338,2023,06,09,15.6,1,Y
IDCJAC0010,086338,2023,06,10,15.5,1,Y
IDCJAC0010,086338,2023,06,11,17.0,1,Y
IDCJAC0010,086338,2023,06,12,15.3,1,Y
IDCJAC0010,086338,2023,06,13,14.6,1,Y
IDCJAC0010,086338,2023,06,14,16.2,1,Y
IDCJAC0010,086338,2023,06,15,15.6,1,Y
IDCJAC0010,086338,2023,06,16,17.6,1,Y
IDCJAC0010,086338,2023,06,17,16.5,1,Y
IDCJAC0010,086338,2023,06,18,14.6,1,Y
IDCJAC0010,086338,2023,06,19,11.9,1,Y
IDCJAC0010,086338,2023,06,20,12.1,1,Y
IDCJAC0010,086338,2023,06,21,11.8,1,Y
IDCJAC0010,086338,2023,06,22,13.7,1,Y
IDCJAC0010,086338,2023,06,23,11.3,1,Y
IDCJAC0010,086338,2023,06,24,15.1,1,Y
IDCJAC0010,086338,2023,06,25,13.2,1,Y
IDCJAC0010,086338,2023,06,26,16.0,1,Y
IDCJAC0010,086338,2023,06,27,14.9,1,Y
IDCJAC0010,086338,2023,06,28,12.7,1,Y
IDCJAC0010,086338,2023,06,29,12.9,1,Y
IDCJAC0010,086338,2023,06,30,15.2,1,Y
IDCJAC0010,086338,2023,07,01,13.5,1,N
IDCJAC0010,086338,2023,07,02,12.8,1,N
IDCJAC0010,086338,2023,07,03,14.5,1,N
IDCJAC0010,086338,2023,07,04,13.6,1,N
IDCJAC0010,086338,2023,07,05,14.7,1,N
IDCJAC0010,086338,2023,07,06,15.2,1,N
IDCJAC0010,086338,2023,07,07,15.5,1,N
IDCJAC0010,086338,2023,07,08,14.9,1,N
IDCJAC0010,086338,2023,07,09,16.9,1,N
IDCJAC0010,086338,2023,07,10,17.1,1,N
IDCJAC0010,086338,2023,07,11,17.6,1,N
IDCJAC0010,086338,2023,07,12,17.7,1,N
IDCJAC0010,086338,2023,07,13,15.9,1,N
IDCJAC0010,086338,2023,07,14,14.7,1,N
IDCJAC0010,086338,2023,07,15,12.5,1,N
IDCJAC0010,086338,2023,07,16,14.8,1,N
IDCJAC0010,086338,2023,07,17,16.5,1,N
IDCJAC0010,086338,2023,07,18,14.6,1,N
IDCJAC0010,086338,2023,07,19,14.3,1,N
IDCJAC0010,086338,2023,07,20,13.4,1,N
IDCJAC0010,086338,2023,07,21,13.9,1,N
IDCJAC0010,086338,2023,07,22,15.8,1,N
IDCJAC0010,086338,2023,07,23,13.1,1,N
IDCJAC0010,086338,2023,07,24,13.5,1,N
IDCJAC0010,086338,2023,07,25,14.8,1,N
IDCJAC0010,086338,2023,07,26,14.7,1,N
IDCJAC0010,086338,2023,07,27,17.2,1,N
IDCJAC0010,086338,2023,07,28,18.9,1,N
IDCJAC0010,086338,2023,07,29,18.8,1,N
IDCJAC0010,086338,2023,07,30,17.9,1,N
IDCJAC0010,086338,2023,07,31,16.9,1,N
IDCJAC0010,086338,2023,08,01,14.9,1,N
IDCJAC0010,086338,2023,08,02,17.1,1,N
IDCJAC0010,086338,2023,08,03,19.8,1,N
IDCJAC0010,086338,2023,08,04,18.2,1,N
IDCJAC0010,086338,2023,08,05,13.6,1,N
IDCJAC0010,086338,2023,08,06,13.4,1,N
IDCJAC0010,086338,2023,08,07,13.7,1,N
IDCJAC0010,086338,2023,08,08,14.2,1,N
IDCJAC0010,086338,2023,08,09,18.4,1,Y
IDCJAC0010,086338,2023,08,10,14.5,1,N
IDCJAC0010,086338,2023,08,11,15.7,1,N
IDCJAC0010,086338,2023,08,12,16.0,1,N
IDCJAC0010,086338,2023,08,13,12.9,1,N
IDCJAC0010,086338,2023,08,14,12.7,1,N
IDCJAC0010,086338,2023,08,15,13.1,1,N
IDCJAC0010,086338,2023,08,16,15.8,1,N
IDCJAC0010,086338,2023,08,17,12.5,1,N
IDCJAC0010,086338,2023,08,18,13.5,1,N
IDCJAC0010,086338,2023,08,19,18.2,1,N
IDCJAC0010,086338,2023,08,20,19.2,1,N
IDCJAC0010,086338,2023,08,21,17.8,1,N
IDCJAC0010,086338,2023,08,22,14.3,1,N
IDCJAC0010,086338,2023,08,23,17.0,1,N
IDCJAC0010,086338,2023,08,24,17.9,1,N
IDCJAC0010,086338,2023,08,25,19.8,1,N
IDCJAC0010,086338,2023,08,26,15.5,1,N
IDCJAC0010,086338,2023,08,27,15.7,1,N
IDCJAC0010,086338,2023,08,28,16.6,1,N
IDCJAC0010,086338,2023,08,29,18.4,1,N
IDCJAC0010,086338,2023,08,30,14.9,1,N
IDCJAC0010,086338,2023,08,31,15.8,1,N
IDCJAC0010,086338,2023,09,01,14.8,1,Y
IDCJAC0010,086338,2023,09,02,15.8,1,Y
IDCJAC0010,086338,2023,09,03,20.4,1,Y
IDCJAC0010,086338,2023,09,04,21.6,1,Y
IDCJAC0010,086338,2023,09,05,15.1,1,Y
IDCJAC0010,086338,2023,09,06,19.4,1,Y
IDCJAC0010,086338,2023,09,07,22.1,1,Y
IDCJAC0010,086338,2023,09,08,11.7,1,Y
IDCJAC0010,086338,2023,09,09,13.9,1,Y
IDCJAC0010,086338,2023,09,10,14.9,1,Y
IDCJAC0010,086338,2023,09,11,17.2,1,Y
IDCJAC0010,086338,2023,09,12,23.3,1,Y
IDCJAC0010,086338,2023,09,13,25.1,1,Y
IDCJAC0010,086338,2023,09,14,23.9,1,Y
IDCJAC0010,086338,2023,09,15,22.4,1,Y
IDCJAC0010,086338,2023,09,16,25.0,1,Y
IDCJAC0010,086338,2023,09,17,23.1,1,Y
IDCJAC0010,086338,2023,09,18,21.9,1,Y
IDCJAC0010,086338,2023,09,19,28.0,1,Y
IDCJAC0010,086338,2023,09,20,19.0,1,Y
IDCJAC0010,086338,2023,09,21,14.9,1,Y
IDCJAC0010,086338,2023,09,22,14.9,1,Y
IDCJAC0010,086338,2023,09,23,16.4,1,Y
IDCJAC0010,086338,2023,09,24,23.8,1,Y
IDCJAC0010,086338,2023,09,25,23.4,1,Y
IDCJAC0010,086338,2023,09,26,16.4,1,Y
IDCJAC0010,086338,2023,09,27,17.3,1,Y
IDCJAC0010,086338,2023,09,28,20.1,1,Y
IDCJAC0010,086338,2023,09,29,27.8,1,Y
IDCJAC0010,086338,2023,09,30,29.7,1,Y
IDCJAC0010,086338,2023,10,01,20.5,1,Y
IDCJAC0010,086338,2023,10,02,28.5,1,Y
IDCJAC0010,086338,2023,10,03,19.2,1,Y
IDCJAC0010,086338,2023,10,04,13.5,1,Y
IDCJAC0010,086338,2023,10,05,16.5,1,Y
IDCJAC0010,086338,2023,10,06,15.2,1,Y
IDCJAC0010,086338,2023,10,07,14.3,1,Y
IDCJAC0010,086338,2023,10,08,15.8,1,Y
