Date,Rainfall
2022-01-01,37.1
2022-01-02,30.9
2022-01-03,20.3
2022-01-04,23.1
2022-01-05,29.3
2022-01-06,30.2
2022-01-07,25.8
2022-01-08,19.7
2022-01-09,21.9
2022-01-10,31.4
2022-01-11,29.7
2022-01-12,30.4
2022-01-13,34.6
2022-01-14,32.8
2022-01-15,24.2
2022-01-16,31.9
2022-01-17,24.2
2022-01-18,21.3
2022-01-19,26.7
2022-01-20,30.4
2022-01-21,29.6
2022-01-22,32.3
2022-01-23,32.6
2022-01-24,33.7
2022-01-25,31.4
2022-01-26,36.0
2022-01-27,32.8
2022-01-28,32.8
2022-01-29,21.8
2022-01-30,29.2
2022-01-31,34.0
2022-02-01,23.6
2022-02-02,19.9
2022-02-03,18.2
2022-02-04,24.5
2022-02-05,26.8
2022-02-06,27.9
2022-02-07,28.6
2022-02-08,30.5
2022-02-09,30.9
2022-02-10,22.7
2022-02-11,21.4
2022-02-12,28.3
2022-02-13,32.1
2022-02-14,31.6
2022-02-15,22.5
2022-02-16,25.8
2022-02-17,24.3
2022-02-18,21.0
2022-02-19,21.9
2022-02-20,23.8
2022-02-21,20.3
2022-02-22,22.5
2022-02-23,32.0
2022-02-24,22.7
2022-02-25,21.7
2022-02-26,29.1
2022-02-27,25.6
2022-02-28,23.9
2022-03-01,25.8
2022-03-02,29.6
2022-03-03,30.5
2022-03-04,32.5
2022-03-05,22.2
2022-03-06,21.8
2022-03-07,23.1
2022-03-08,20.7
2022-03-09,22.0
2022-03-10,20.4
2022-03-11,20.3
2022-03-12,22.6
2022-03-13,29.8
2022-03-14,28.0
2022-03-15,27.5
2022-03-16,23.2
2022-03-17,29.2
2022-03-18,21.7
2022-03-19,30.3
2022-03-20,25.0
2022-03-21,28.3
2022-03-22,22.2
2022-03-23,19.5
2022-03-24,20.3
2022-03-25,20.4
2022-03-26,22.3
2022-03-27,29.1
2022-03-28,24.4
2022-03-29,20.0
2022-03-30,20.4
2022-03-31,21.7
2022-04-01,19.1
2022-04-02,18.2
2022-04-03,17.8
2022-04-04,18.4
2022-04-05,19.9
2022-04-06,22.3
2022-04-07,22.8
2022-04-08,23.4
2022-04-09,25.1
2022-04-10,26.7
2022-04-11,18.8
2022-04-12,17.7
2022-04-13,20.0
2022-04-14,24.7
2022-04-15,26.2
2022-04-16,28.9
2022-04-17,28.0
2022-04-18,17.5
2022-04-19,15.8
2022-04-20,19.9
2022-04-21,17.1
2022-04-22,18.2
2022-04-23,17.8
2022-04-24,17.6
2022-04-25,24.2
2022-04-26,23.1
2022-04-27,22.0
2022-04-28,22.4
2022-04-29,20.8
2022-04-30,17.9
2022-05-01,19.3
2022-05-02,22.1
2022-05-03,20.7
2022-05-04,16.4
2022-05-05,14.1
2022-05-06,15.2
2022-05-07,15.3
2022-05-08,16.3
2022-05-09,16.6
2022-05-10,18.4
2022-05-11,17.5
2022-05-12,18.1
2022-05-13,17.9
2022-05-14,18.5
2022-05-15,21.8
2022-05-16,15.9
2022-05-17,15.6
2022-05-18,15.4
2022-05-19,14.7
2022-05-20,15.8
2022-05-21,14.9
2022-05-22,14.3
2022-05-23,17.1
2022-05-24,20.8
2022-05-25,19.6
2022-05-26,16.3
2022-05-27,16.6
2022-05-28,14.6
2022-05-29,16.5
2022-05-30,11.7
2022-05-31,11.4
2022-06-01,11.9
2022-06-02,13.0
2022-06-03,12.6
2022-06-04,14.9
2022-06-05,13.7
2022-06-06,13.3
2022-06-07,11.9
2022-06-08,12.8
2022-06-09,13.4
2022-06-10,14.1
2022-06-11,13.0
2022-06-12,13.3
2022-06-13,13.0
2022-06-14,13.5
2022-06-15,13.8
2022-06-16,14.4
2022-06-17,13.8
2022-06-18,15.7
2022-06-19,16.2
2022-06-20,17.7
2022-06-21,14.9
2022-06-22,15.8
2022-06-23,16.4
2022-06-24,17.3
2022-06-25,16.2
2022-06-26,13.1
2022-06-27,12.8
2022-06-28,13.4
2022-06-29,11.7
2022-06-30,14.1
2022-07-01,12.5
2022-07-02,12.5
2022-07-03,13.2
2022-07-04,13.3
2022-07-05,15.0
2022-07-06,17.6
2022-07-07,13.9
2022-07-08,11.9
2022-07-09,12.9
2022-07-10,15.9
2022-07-11,14.0
2022-07-12,11.0
2022-07-13,12.4
2022-07-14,12.6
2022-07-15,15.5
2022-07-16,13.8
2022-07-17,15.8
2022-07-18,11.4
2022-07-19,12.8
2022-07-20,11.2
2022-07-21,13.8
2022-07-22,19.0
2022-07-23,14.5
2022-07-24,19.3
2022-07-25,16.8
2022-07-26,13.2
2022-07-27,15.3
2022-07-28,13.2
2022-07-29,12.7
2022-07-30,13.0
2022-07-31,14.7
2022-08-01,15.7
2022-08-02,15.9
2022-08-03,19.2
2022-08-04,18.8
2022-08-05,14.1
2022-08-06,12.8
2022-08-07,14.2
2022-08-08,13.5
2022-08-09,12.4
2022-08-10,14.7
2022-08-11,15.7
2022-08-12,15.3
2022-08-13,16.2
2022-08-14,15.2
2022-08-15,16.7
2022-08-16,13.6
2022-08-17,15.6
2022-08-18,15.2
2022-08-19,16.3
2022-08-20,13.7
2022-08-21,15.1
2022-08-22,18.1
2022-08-23,13.1
2022-08-24,13.2
2022-08-25,14.5
2022-08-26,13.6
2022-08-27,20.1
2022-08-28,20.8
2022-08-29,17.9
2022-08-30,15.6
2022-08-31,16.4
2022-09-01,16.0
2022-09-02,12.8
2022-09-03,14.8
2022-09-04,12.7
2022-09-05,16.0
2022-09-06,17.0
2022-09-07,20.6
2022-09-08,17.3
2022-09-09,21.0
2022-09-10,15.6
2022-09-11,16.4
2022-09-12,13.6
2022-09-13,12.7
2022-09-14,18.1
2022-09-15,17.4
2022-09-16,17.2
2022-09-17,14.0
2022-09-18,15.6
2022-09-19,15.3
2022-09-20,20.1
2022-09-21,21.1
2022-09-22,16.9
2022-09-23,17.9
2022-09-24,14.7
2022-09-25,18.8
2022-09-26,16.0
2022-09-27,15.9
2022-09-28,16.0
2022-09-29,15.6
2022-09-30,20.1
2022-10-01,18.3
2022-10-02,17.7
2022-10-03,21.2
2022-10-04,16.0
2022-10-05,14.5
2022-10-06,21.5
2022-10-07,19.6
2022-10-08,15.2
2022-10-09,15.1
2022-10-10,18.0
2022-10-11,22.2
2022-10-12,18.8
2022-10-13,17.5
2022-10-14,18.3
2022-10-15,19.0
2022-10-16,16.2
2022-10-17,15.2
2022-10-18,21.6
2022-10-19,20.7
2022-10-20,20.9
2022-10-21,26.3
2022-10-22,19.8
2022-10-23,20.3
2022-10-24,20.6
2022-10-25,23.7
2022-10-26,19.9
2022-10-27,18.6
2022-10-28,15.6
2022-10-29,17.8
2022-10-30,21.6
2022-10-31,22.4
2022-11-01,13.3
2022-11-02,15.7
2022-11-03,15.4
2022-11-04,17.8
2022-11-05,22.7
2022-11-06,27.1
2022-11-07,25.9
2022-11-08,27.6
2022-11-09,29.3
2022-11-10,26.4
2022-11-11,20.2
2022-11-12,19.3
2022-11-13,24.8
2022-11-14,17.4
2022-11-15,13.1
2022-11-16,14.8
2022-11-17,16.3
2022-11-18,24.5
2022-11-19,22.3
2022-11-20,20.6
2022-11-21,13.8
2022-11-22,18.2
2022-11-23,17.7
2022-11-24,19.2
2022-11-25,20.6
2022-11-26,27.3
2022-11-27,20.5
2022-11-28,18.8
2022-11-29,18.4
2022-11-30,18.4
2022-12-01,18.8
2022-12-02,21.4
2022-12-03,31.0
2022-12-04,34.5
2022-12-05,18.1
2022-12-06,20.0
2022-12-07,19.3
2022-12-08,16.0
2022-12-09,17.6
2022-12-10,25.9
2022-12-11,28.6
2022-12-12,17.3
2022-12-13,17.9
2022-12-14,15.8
2022-12-15,16.6
2022-12-16,20.3
2022-12-17,22.3
2022-12-18,23.7
2022-12-19,26.0
2022-12-20,27.3
2022-12-21,29.4
2022-12-22,25.2
2022-12-23,23.1
2022-12-24,23.5
2022-12-25,31.9
2022-12-26,27.5
2022-12-27,37.3
2022-12-28,27.6
2022-12-29,19.3
2022-12-30,26.2
2022-12-31,30.3
