Date,Rainfall
2022-01-01,20.5
2022-01-02,20.9
2022-01-03,16.8
2022-01-04,16.2
2022-01-05,18.5
2022-01-06,18.3
2022-01-07,20.1
2022-01-08,17.1
2022-01-09,16.1
2022-01-10,15.5
2022-01-11,18.5
2022-01-12,18.6
2022-01-13,17.6
2022-01-14,20.8
2022-01-15,18.8
2022-01-16,18.3
2022-01-17,18.4
2022-01-18,17.1
2022-01-19,15.4
2022-01-20,12.9
2022-01-21,17.1
2022-01-22,17.7
2022-01-23,18.1
2022-01-24,20.2
2022-01-25,20.1
2022-01-26,19.6
2022-01-27,21.2
2022-01-28,21.7
2022-01-29,17.5
2022-01-30,18.7
2022-01-31,20.1
2022-02-01,19.8
2022-02-02,14.9
2022-02-03,13.3
2022-02-04,11.6
2022-02-05,13.3
2022-02-06,14.1
2022-02-07,14.7
2022-02-08,15.4
2022-02-09,19.1
2022-02-10,17.3
2022-02-11,15.9
2022-02-12,15.7
2022-02-13,17.1
2022-02-14,17.8
2022-02-15,17.9
2022-02-16,16.4
2022-02-17,17.1
2022-02-18,15.4
2022-02-19,13.3
2022-02-20,12.7
2022-02-21,13.7
2022-02-22,13.0
2022-02-23,15.1
2022-02-24,19.3
2022-02-25,18.0
2022-02-26,18.4
2022-02-27,16.3
2022-02-28,18.9
2022-03-01,19.8
2022-03-02,19.7
2022-03-03,17.5
2022-03-04,18.3
2022-03-05,17.3
2022-03-06,16.6
2022-03-07,15.9
2022-03-08,15.4
2022-03-09,14.6
2022-03-10,11.8
2022-03-11,12.0
2022-03-12,11.7
2022-03-13,14.0
2022-03-14,16.4
2022-03-15,18.3
2022-03-16,18.9
2022-03-17,17.7
2022-03-18,19.1
2022-03-19,13.5
2022-03-20,15.7
2022-03-21,17.7
2022-03-22,18.2
2022-03-23,13.6
2022-03-24,14.4
2022-03-25,14.0
2022-03-26,11.1
2022-03-27,12.4
2022-03-28,16.3
2022-03-29,15.6
2022-03-30,15.9
2022-03-31,13.5
2022-04-01,12.8
2022-04-02,13.4
2022-04-03,14.5
2022-04-04,14.9
2022-04-05,11.9
2022-04-06,13.6
2022-04-07,11.3
2022-04-08,12.3
2022-04-09,16.3
2022-04-10,16.7
2022-04-11,14.2
2022-04-12,13.0
2022-04-13,11.4
2022-04-14,10.2
2022-04-15,13.9
2022-04-16,15.5
2022-04-17,15.7
2022-04-18,16.1
2022-04-19,15.0
2022-04-20,9.0
2022-04-21,12.7
2022-04-22,7.7
2022-04-23,7.6
2022-04-24,8.7
2022-04-25,7.7
2022-04-26,10.0
2022-04-27,13.8
2022-04-28,16.3
2022-04-29,17.7
2022-04-30,11.6
2022-05-01,11.7
2022-05-02,13.6
2022-05-03,11.9
2022-05-04,13.3
2022-05-05,6.9
2022-05-06,5.3
2022-05-07,9.1
2022-05-08,11.4
2022-05-09,7.9
2022-05-10,6.1
2022-05-11,8.7
2022-05-12,12.5
2022-05-13,14.4
2022-05-14,14.9
2022-05-15,14.3
2022-05-16,11.6
2022-05-17,9.1
2022-05-18,10.8
2022-05-19,8.9
2022-05-20,10.4
2022-05-21,4.6
2022-05-22,6.8
2022-05-23,6.3
2022-05-24,6.0
2022-05-25,7.4
2022-05-26,9.4
2022-05-27,11.8
2022-05-28,7.4
2022-05-29,6.3
2022-05-30,6.1
2022-05-31,7.6
2022-06-01,6.1
2022-06-02,4.7
2022-06-03,6.1
2022-06-04,8.9
2022-06-05,10.6
2022-06-06,8.2
2022-06-07,7.2
2022-06-08,7.1
2022-06-09,9.0
2022-06-10,10.1
2022-06-11,9.2
2022-06-12,9.8
2022-06-13,8.9
2022-06-14,6.4
2022-06-15,9.4
2022-06-16,10.6
2022-06-17,10.5
2022-06-18,8.0
2022-06-19,5.1
2022-06-20,6.7
2022-06-21,11.0
2022-06-22,7.6
2022-06-23,10.9
2022-06-24,11.7
2022-06-25,9.4
2022-06-26,10.7
2022-06-27,6.2
2022-06-28,6.0
2022-06-29,6.6
2022-06-30,4.3
2022-07-01,5.9
2022-07-02,7.0
2022-07-03,3.7
2022-07-04,4.6
2022-07-05,7.5
2022-07-06,3.1
2022-07-07,4.9
2022-07-08,8.2
2022-07-09,7.6
2022-07-10,3.8
2022-07-11,5.8
2022-07-12,8.0
2022-07-13,7.1
2022-07-14,7.5
2022-07-15,7.2
2022-07-16,8.1
2022-07-17,9.1
2022-07-18,7.2
2022-07-19,3.8
2022-07-20,0.8
2022-07-21,1.2
2022-07-22,3.4
2022-07-23,8.1
2022-07-24,10.4
2022-07-25,8.1
2022-07-26,8.8
2022-07-27,9.3
2022-07-28,9.3
2022-07-29,6.5
2022-07-30,2.1
2022-07-31,4.3
2022-08-01,7.4
2022-08-02,9.8
2022-08-03,11.0
2022-08-04,12.0
2022-08-05,11.8
2022-08-06,7.9
2022-08-07,8.0
2022-08-08,5.4
2022-08-09,2.6
2022-08-10,3.6
2022-08-11,5.4
2022-08-12,10.3
2022-08-13,7.6
2022-08-14,6.8
2022-08-15,10.4
2022-08-16,10.3
2022-08-17,6.9
2022-08-18,9.4
2022-08-19,8.6
2022-08-20,10.5
2022-08-21,6.8
2022-08-22,9.5
