Date,Rainfall (mm),Maximum temperature (°C),Minimum temperature (°C)
2022-01-01,0.0,37.1,20.5
2022-01-02,0.0,30.9,20.9
2022-01-03,0.0,20.3,16.8
2022-01-04,0.0,23.1,16.2
2022-01-05,0.0,29.3,18.5
2022-01-06,0.0,30.2,18.3
2022-01-07,1.5,25.8,20.1
2022-01-08,21.7,19.7,17.1
2022-01-09,0.0,21.9,16.1
2022-01-10,0.0,31.4,15.5
2022-01-11,0.0,29.7,18.5
2022-01-12,0.0,30.4,18.6
2022-01-13,0.0,34.6,17.6
2022-01-14,0.0,32.8,20.8
2022-01-15,0.0,24.2,18.8
2022-01-16,0.0,31.9,18.3
2022-01-17,0.0,24.2,18.4
2022-01-18,0.0,21.3,17.1
2022-01-19,0.0,26.7,15.4
2022-01-20,0.0,30.4,12.9
2022-01-21,0.0,29.6,17.1
2022-01-22,0.0,32.3,17.7
2022-01-23,0.0,32.6,18.1
2022-01-24,0.0,33.7,20.2
2022-01-25,0.0,31.4,20.1
2022-01-26,0.0,36.0,19.6
2022-01-27,7.4,32.8,21.2
2022-01-28,1.4,32.8,21.7
2022-01-29,40.0,21.8,17.5
2022-01-30,0.3,29.2,18.7
2022-01-31,0.0,34.0,20.1
2022-02-01,0.0,23.6,19.8
2022-02-02,2.0,19.9,14.9
2022-02-03,0.0,18.2,13.3
2022-02-04,1.8,24.5,11.6
2022-02-05,0.0,26.8,13.3
2022-02-06,0.0,27.9,14.1
2022-02-07,0.0,28.6,14.7
2022-02-08,0.0,30.5,15.4
2022-02-09,0.0,30.9,19.1
2022-02-10,0.0,22.7,17.3
2022-02-11,0.0,21.4,15.9
2022-02-12,0.0,28.3,15.7
2022-02-13,0.0,32.1,17.1
2022-02-14,0.0,31.6,17.8
2022-02-15,0.0,22.5,17.9
2022-02-16,0.0,25.8,16.4
2022-02-17,0.0,24.3,17.1
2022-02-18,0.0,21.0,15.4
2022-02-19,0.8,21.9,13.3
2022-02-20,0.0,23.8,12.7
2022-02-21,1.9,20.3,13.7
2022-02-22,0.0,22.5,13.0
2022-02-23,0.0,32.0,15.1
2022-02-24,0.0,22.7,19.3
2022-02-25,0.0,21.7,18.0
2022-02-26,0.0,29.1,18.4
2022-02-27,0.0,25.6,16.3
2022-02-28,0.0,23.9,18.9
2022-03-01,0.0,25.8,19.8
2022-03-02,7.4,29.6,19.7
2022-03-03,0.0,30.5,17.5
2022-03-04,0.0,32.5,18.3
2022-03-05,39.4,22.2,17.3
2022-03-06,4.5,21.8,16.6
2022-03-07,0.0,23.1,15.9
2022-03-08,0.0,20.7,15.4
2022-03-09,0.0,22.0,14.6
2022-03-10,0.0,20.4,11.8
2022-03-11,0.0,20.3,12.0
2022-03-12,0.0,22.6,11.7
2022-03-13,0.0,29.8,14.0
2022-03-14,3.1,28.0,16.4
2022-03-15,0.6,27.5,18.3
2022-03-16,0.0,23.2,18.9
2022-03-17,0.0,29.2,17.7
2022-03-18,0.0,21.7,19.1
2022-03-19,0.3,30.3,13.5
2022-03-20,0.0,25.0,15.7
2022-03-21,0.0,28.3,17.7
2022-03-22,0.0,22.2,18.2
2022-03-23,1.4,19.5,13.6
2022-03-24,0.0,20.3,14.4
2022-03-25,0.0,20.4,14.0
2022-03-26,0.0,22.3,11.1
2022-03-27,0.0,29.1,12.4
2022-03-28,0.0,24.4,16.3
2022-03-29,0.0,20.0,15.6
2022-03-30,0.0,20.4,15.9
2022-03-31,,21.7,13.5
2022-04-01,0.0,19.1,12.8
2022-04-02,0.6,18.2,13.4
2022-04-03,1.8,17.8,14.5
2022-04-04,1.6,18.4,14.9
2022-04-05,0.0,19.9,11.9
2022-04-06,0.0,22.3,13.6
2022-04-07,0.0,22.8,11.3
2022-04-08,0.0,23.4,12.3
2022-04-09,0.0,25.1,16.3
2022-04-10,0.0,26.7,16.7
2022-04-11,1.8,18.8,14.2
2022-04-12,0.0,17.7,13.0
2022-04-13,0.0,20.0,11.4
2022-04-14,0.0,24.7,10.2
2022-04-15,0.0,26.2,13.9
2022-04-16,0.0,28.9,15.5
2022-04-17,0.0,28.0,15.7
2022-04-18,13.2,17.5,16.1
2022-04-19,12.4,15.8,15.0
2022-04-20,8.6,19.9,9.0
2022-04-21,1.0,17.1,12.7
2022-04-22,0.4,18.2,7.7
2022-04-23,0.0,17.8,7.6
2022-04-24,0.0,17.6,8.7
2022-04-25,0.0,24.2,7.7
2022-04-26,0.0,23.1,10.0
2022-04-27,0.0,22.0,13.8
2022-04-28,0.0,22.4,16.3
2022-04-29,0.0,20.8,17.7
2022-04-30,34.0,17.9,11.6
2022-05-01,0.2,19.3,11.7
2022-05-02,0.0,22.1,13.6
2022-05-03,0.0,20.7,11.9
2022-05-04,0.0,16.4,13.3
