ACCIDENT_NO,LATITUDE,LONGITUDE
T20220022778,-38.071951,145.193384
T20220023628,-37.796307,144.970708
T20220021906,-37.821099,144.955075
T20220021916,-37.998649,145.246758
T20220021932,-38.009805,144.399506
T20220021935,-37.871236,145.013235
T20220021941,-37.520769,143.850843
T20220021942,-37.814013,145.225776
T20220021946,-37.85134,144.989412
T20220021947,-37.877778,145.004956
T20230000332,-37.421693,143.798547
T20220021954,-37.818387,145.176047
T20220021956,-38.182048,144.347091
T20220022089,-37.879282,144.699359
T20220021959,-38.038567,145.257896
T20220021972,-37.689017,144.579677
T20220021960,-37.782273,144.974284
T20220022407,-37.817509,145.15406
T20220021961,-37.810358,144.808003
T20220021962,-37.816623,144.99953
T20220021965,-37.829329,144.997275
T20220021968,-37.811269,144.958106
T20220021969,-37.864496,144.602962
T20220021970,-38.061724,145.338078
T20220022022,-37.691275,144.958251
T20230005338,-37.775964,147.385104
T20220022079,-37.907517,145.069022
T20220022397,-37.762336,144.754542
T20230019003,-37.674502,144.923042
T20220021981,-38.034328,144.399085
T20220022930,-37.811105,144.869822
T20220023419,-37.975167,145.065699
T20220022244,-37.688261,144.567422
T20220028404,-37.655784,144.947932
T20220024196,-37.561841,143.858173
T20220022044,-37.804003,145.18922
T20220026073,-37.693117,144.754601
T20220021925,-37.802315,144.899117
T20220022491,-37.851277,145.170916
T20220022027,-37.858448,144.89394
T20220021999,-37.687469,145.028479
T20220028834,-37.847603,145.227141
T20220022013,-38.026132,145.24671
T20220021993,-37.860875,144.667022
T20220023370,-34.187378,142.158326
T20220021989,-37.827135,144.9617
T20220021988,-37.808851,144.983812
T20220024296,-38.156215,145.172809
T20220022017,-37.758098,144.926459
T20220023362,-38.094437,145.176943
T20220022051,-36.717838,142.199729
T20220024036,-37.773526,145.011251
T20220022896,-37.860171,144.991757
T20220021986,-38.485219,145.791706
T20220021984,-38.050609,145.11562
T20220021982,-37.695166,144.600099
T20220022170,-38.15759,145.319234
T20220022212,-35.364961,143.56226
T20220022059,-37.778196,145.358633
T20220022084,-38.315647,144.992021
T20220022012,-38.13954,141.77019
T20220021978,-37.83484,144.996556
T20220022056,-38.123018,145.157148
T20220022047,-37.785419,145.000554
T20220022580,-35.042319,141.844849
T20230001375,-37.990384,145.182663
T20220022055,-37.686591,144.93053
T20220022206,-37.782949,144.884101
T20220022067,-37.864438,144.741098
T20220022001,-37.739969,144.907455
T20220022053,-37.937301,145.068665
T20220022004,-37.889214,145.057077
T20220022050,-37.754433,145.020618
T20220022110,-37.587574,144.202095
T20220022018,-37.591665,144.894615
T20220022481,-37.881106,145.049591
T20220022078,-37.907888,145.043495
T20220022385,-37.73952,144.856338
T20220023633,-37.53223,145.34085
T20220022057,-37.774331,144.804339
T20220024775,-37.712444,144.726638
T20220022254,-37.79861,144.984331
T20220022020,-37.821845,144.934794
T20220022009,-36.357179,146.687932
T20220022023,-37.84944,144.993725
T20220022025,-37.77085,144.780106
T20220028216,-37.935633,144.61739
T20220023018,-37.810474,144.999715
T20220022075,-37.952566,145.01027
T20220023323,-38.51359,145.595818
T20220022097,-38.11837,145.149064
T20220022351,-37.785357,144.954164
T20220022839,-37.753897,144.88914
T20220022098,-37.826711,144.955706
T20220022099,-37.774983,145.33206
T20220022522,-37.258395,143.224743
T20220022100,-37.810345,144.998453
T20230010988,-37.743517,145.003142
T20220023397,-37.772091,144.9907
T20220022102,-38.203381,146.521205
T20220022264,-37.833469,144.932769
T20220024767,-37.913521,145.272311
T20220022107,-37.491108,145.103741
T20220022138,-38.397981,144.937271
T20220022135,-37.607158,144.911558
T20220022134,-37.777202,144.829301
T20220022130,-37.680639,144.505455
T20220022129,-37.87513,145.040041
T20220022124,-37.704551,144.624485
T20220022272,-37.41872,146.795141
T20220022123,-37.761286,145.310414
T20220022113,-37.763278,144.862455
T20220022111,-37.740589,145.027718
T20230003003,-37.649997,145.00544
T20220022149,-38.472978,146.531362
T20220022076,-37.808163,144.951686
T20220022104,-37.773912,144.998079
T20220023073,-38.077996,145.36368
T20220022147,-37.764371,144.831126
T20220022415,-37.010789,144.245765
T20220022544,-37.718384,145.140853
T20220022591,-38.463075,143.938727
T20220023411,-38.213463,145.047437
T20220026026,-37.837072,144.976725
T20220022636,-37.889995,145.322412
T20220022806,-37.841679,146.268575
T20220022935,-37.064174,142.765048
T20230010037,-38.21683,146.468899
T20220022155,-36.741937,144.283183
T20220022157,-37.720345,145.036411
T20220022159,-38.36642,144.865044
T20220022161,-38.055636,145.300934
T20220025386,-37.842757,145.022939
T20220022162,-37.553114,143.822359
T20220022166,-38.169088,144.349056
T20220022168,-37.895193,145.144027
T20220022172,-37.783147,144.907182
T20220022173,-36.198322,147.269221
T20220022176,-36.998207,144.27663
T20220022178,-37.974629,147.175129
T20220022182,-37.854269,144.992913
T20220022183,-38.28692,144.396977
T20220022184,-37.835275,144.996473
T20220022185,-37.798788,145.280879
T20220022186,-37.902801,145.007337
T20220022187,-38.100824,145.1259
T20220022195,-37.722002,144.573103
T20220022196,-37.784318,144.941584
T20220025139,-37.961446,145.18874
T20220022197,-38.101293,145.27852
T20220022209,-37.704212,144.918362
T20220022214,-37.106465,143.457555
T20220022222,-37.810889,144.967223
T20220022256,-37.501387,145.724017
T20220022313,-37.620713,144.92409
