ACCIDENT_NO,SURFACE_COND,SURFACE_COND_DESC,SURFACE_COND_SEQ
T20220000059,1,Dry,1
T20220002574,9,Unk.,0
T20220000011,1,Dry,1
T20220000041,1,Dry,1
T20220001286,9,Unk.,0
T20220000111,1,Dry,1
T20220000039,1,Dry,0
T20220003468,1,Dry,0
T20220000014,1,Dry,1
T20220000009,1,Dry,1
T20220002291,1,Dry,1
T20220000054,1,Dry,0
T20220000053,1,Dry,0
T20220000051,1,Dry,1
T20220000061,1,Dry,1
T20220000021,1,Dry,0
T20220000083,1,Dry,1
T20220000081,1,Dry,0
T20220000033,1,Dry,1
T20220000029,1,Dry,1
T20220000071,1,Dry,1
T20220000981,1,Dry,1
T20220024316,1,Dry,1
T20220000915,1,Dry,1
T20220000070,1,Dry,0
T20220002649,9,Unk.,1
T20220000219,9,Unk.,0
T20220000096,1,Dry,1
T20220000625,1,Dry,0
T20220000077,1,Dry,1
T20220000102,1,Dry,1
T20220000106,1,Dry,0
T20220000108,1,Dry,1
T20220000073,1,Dry,1
T20220000092,1,Dry,1
T20220000109,1,Dry,1
T20220000090,1,Dry,1
T20220000117,1,Dry,1
T20220000393,1,Dry,1
T20220000086,1,Dry,1
T20220000352,1,Dry,1
T20220000130,1,Dry,1
T20220000072,1,Dry,1
T20220000119,1,Dry,1
T20220000131,1,Dry,1
T20220000097,1,Dry,1
T20220000094,1,Dry,1
T20220000141,1,Dry,1
T20220000118,1,Dry,1
T20220000098,1,Dry,0
T20220014054,9,Unk.,0
T20220001064,1,Dry,0
T20220000741,9,Unk.,1
T20220000091,1,Dry,0
T20220000089,1,Dry,0
T20220000087,1,Dry,0
T20220000142,1,Dry,1
T20220000656,1,Dry,1
T20220000269,1,Dry,1
T20220000234,1,Dry,1
T20220000251,1,Dry,1
T20220000286,1,Dry,0
T20220000350,1,Dry,0
T20220002105,1,Dry,1
T20220006430,1,Dry,1
T20220001022,1,Dry,1
T20220001075,9,Unk.,1
T20220001756,1,Dry,1
T20220000132,1,Dry,1
T20220000135,1,Dry,1
T20220000137,1,Dry,0
T20220000147,1,Dry,1
T20220000149,1,Dry,1
T20220000150,1,Dry,1
T20220000155,1,Dry,0
T20230002412,1,Dry,0
T20220000156,1,Dry,0
T20220000157,1,Dry,1
T20220000159,1,Dry,0
T20220005443,1,Dry,0
T20220000163,1,Dry,1
T20220000164,1,Dry,1
T20220000167,1,Dry,0
T20220000169,1,Dry,1
T20220000170,1,Dry,1
T20220000171,1,Dry,0
T20220000172,1,Dry,0
T20220000180,1,Dry,1
T20220000183,1,Dry,1
T20220000184,9,Unk.,1
T20220000161,1,Dry,1
T20220001590,1,Dry,0
T20220000208,1,Dry,1
T20220001150,1,Dry,1
T20220000185,1,Dry,1
T20220000210,1,Dry,1
T20220000179,1,Dry,1
T20220000221,1,Dry,1
T20220002195,1,Dry,0
T20220000385,1,Dry,1
T20220003494,9,Unk.,0
T20220000217,1,Dry,0
T20220007203,9,Unk.,1
T20220001375,1,Dry,0
T20220000188,1,Dry,0
T20220000196,1,Dry,1
T20220002130,9,Unk.,1
T20220000258,1,Dry,1
T20220001891,9,Unk.,1
T20220000225,1,Dry,1
T20220000226,1,Dry,0
T20220000198,1,Dry,1
T20220002025,9,Unk.,0
T20220000201,1,Dry,0
T20220000242,1,Dry,1
T20220007079,1,Dry,1
T20220001739,1,Dry,1
T20220000205,1,Dry,1
T20220000249,1,Dry,1
T20220004147,1,Dry,1
T20220000266,1,Dry,1
T20220002338,1,Dry,0
T20220000368,1,Dry,1
T20220001613,1,Dry,0
T20220000273,1,Dry,1
T20220000276,1,Dry,1
T20220000279,1,Dry,1
T20220000280,1,Dry,0
T20220000282,1,Dry,1
T20220000283,1,Dry,1
T20220000308,2,Wet,1
T20220000299,1,Dry,1
T20220000296,1,Dry,1
T20220001744,2,Wet,1
T20220000295,1,Dry,1
T20220000294,2,Wet,1
T20220000253,2,Wet,1
T20220013574,1,Dry,1
T20220000254,1,Dry,1
T20220000304,2,Wet,1
T20220000291,1,Dry,1
T20220000257,1,Dry,0
T20220000290,1,Dry,1
T20220000247,2,Wet,0
T20220000263,1,Dry,0
T20220000250,1,Dry,0
T20220000241,2,Wet,0
T20220000320,1,Dry,1
T20220000347,2,Wet,0
T20220000326,2,Wet,1
T20220000345,2,Wet,1
T20220000328,1,Dry,0
T20220000332,1,Dry,0
T20220001261,1,Dry,1
T20220000344,2,Wet,1
T20220000336,1,Dry,1
T20220000342,2,Wet,1
T20220001201,1,Dry,1
T20220000338,1,Dry,1
T20220000339,1,Dry,1
T20220000415,1,Dry,0
T20220000306,1,Dry,1
T20220000307,1,Dry,1
T20220000311,1,Dry,1
T20220000367,1,Dry,1
T20220000366,2,Wet,0
T20220000365,1,Dry,0
T20220000361,1,Dry,1
T20220000878,1,Dry,1
T20220000356,1,Dry,1
T20220000312,2,Wet,1
T20220000313,1,Dry,1
T20220000316,1,Dry,1
T20220002343,1,Dry,1
T20220000319,1,Dry,1
T20220000586,1,Dry,1
T20220001886,1,Dry,0
T20220000411,2,Wet,1
T20220000408,2,Wet,1
T20220000425,1,Dry,1
T20220000407,1,Dry,1
T20220000668,1,Dry,1
T20220000406,2,Wet,1
T20220001967,2,Wet,0
T20220000682,2,Wet,1
T20220000858,2,Wet,0
T20220000607,1,Dry,1
T20220000419,1,Dry,0
T20220000379,1,Dry,1
T20220002744,1,Dry,0
T20220001842,1,Dry,1
T20220000436,1,Dry,1
T20220005571,2,Wet,0
T20220005801,9,Unk.,1
T20220000603,1,Dry,0
T20220000400,2,Wet,1
T20220000426,1,Dry,0
T20220002264,2,Wet,0
T20220005758,1,Dry,0
T20220003411,2,Wet,1
T20220000390,2,Wet,1
T20220001087,2,Wet,1
T20220000384,2,Wet,0
T20220000397,1,Dry,1
T20220000394,1,Dry,1
T20220000386,2,Wet,1
T20220000395,2,Wet,1
T20220000512,1,Dry,0
T20220004010,2,Wet,0
T20220000514,1,Dry,0
T20220000387,2,Wet,1
T20220000424,1,Dry,1
T20220000534,1,Dry,1
T20220000422,1,Dry,1
T20220000711,9,Unk.,1
T20220000421,2,Wet,0
T20220000538,2,Wet,1
T20220000441,1,Dry,1
T20220000494,1,Dry,1
T20220000445,1,Dry,1
T20220000431,2,Wet,1
T20220000434,2,Wet,1
T20220002356,1,Dry,0
T20220000439,2,Wet,1
T20220000466,1,Dry,0
T20220000448,1,Dry,1
T20220000619,1,Dry,1
T20220000626,2,Wet,1
T20220000443,2,Wet,1
T20220001314,9,Unk.,0
T20220000455,1,Dry,0
T20220000467,1,Dry,1
T20220000468,1,Dry,1
T20220000444,1,Dry,1
T20220000479,1,Dry,1
T20220000990,2,Wet,0
T20220000459,1,Dry,1
T20220000477,1,Dry,1
T20220000449,1,Dry,1
T20220001017,3,Muddy,1
T20220000461,1,Dry,1
T20220000447,2,Wet,0
T20220000475,1,Dry,1
T20220000465,2,Wet,1
T20220000442,2,Wet,1
T20220000596,1,Dry,1
T20220000713,1,Dry,1
T20220000781,1,Dry,1
T20220000462,1,Dry,1
T20220000363,9,Unk.,1
T20220001549,1,Dry,0
T20220000505,1,Dry,1
T20220000560,1,Dry,1
T20220000500,1,Dry,1
T20220000516,1,Dry,1
T20220000506,1,Dry,1
T20220000503,1,Dry,1
T20220000501,1,Dry,1
T20220000491,1,Dry,1
T20220000521,1,Dry,0
T20220000518,1,Dry,1
T20220000487,1,Dry,1
T20220002941,1,Dry,1
T20220026561,9,Unk.,0
T20220004537,1,Dry,1
T20220008858,1,Dry,0
T20220000502,1,Dry,1
T20220000812,1,Dry,1
T20220000495,1,Dry,1
T20220002277,1,Dry,1
T20220000536,1,Dry,1
T20220000530,1,Dry,1
T20220000547,1,Dry,1
T20220000660,1,Dry,0
T20220001202,1,Dry,0
T20220000542,1,Dry,1
T20220000552,1,Dry,1
T20220000573,1,Dry,1
T20220000574,1,Dry,1
T20220002478,1,Dry,1
T20220000604,1,Dry,0
T20220000575,1,Dry,1
T20220001304,1,Dry,1
T20220000582,1,Dry,0
T20220000564,1,Dry,0
T20220000563,1,Dry,0
T20220000553,1,Dry,1
T20220000555,1,Dry,1
T20220000571,1,Dry,0
T20220000580,1,Dry,1
T20220000577,1,Dry,1
T20220000581,1,Dry,1
T20220000588,1,Dry,0
T20220001218,9,Unk.,1
T20220000925,1,Dry,1
T20220000584,1,Dry,1
T20220000541,1,Dry,1
T20220000532,1,Dry,1
T20220000550,1,Dry,1
T20220000551,1,Dry,0
T20220000662,1,Dry,1
T20220000737,1,Dry,0
T20220000624,1,Dry,0
T20220000621,1,Dry,0
T20220000718,9,Unk.,1
T20220000614,1,Dry,1
T20220000606,9,Unk.,0
T20220000631,1,Dry,1
T20220000636,1,Dry,1
T20220000611,1,Dry,0
T20220000610,1,Dry,1
T20220000602,1,Dry,1
T20220000616,1,Dry,1
T20220000592,2,Wet,1
T20220000673,1,Dry,1
T20220000667,3,Muddy,1
T20220000693,1,Dry,1
T20220000717,1,Dry,1
T20220000694,1,Dry,1
T20220001016,9,Unk.,1
T20220000715,1,Dry,1
T20220000669,1,Dry,1
T20220000691,1,Dry,1
T20220000684,1,Dry,1
T20220000646,1,Dry,1
T20220001120,1,Dry,1
T20220000703,1,Dry,1
T20220000677,1,Dry,0
T20220000678,1,Dry,1
T20220000666,1,Dry,0
