Date,Rainfall (mm),Maximum temperature (°C),Minimum temperature (°C)
2024-01-01,0.0,35.9,12.6
2024-01-02,0.0,32.0,16.9
2024-01-03,17.8,21.1,17.8
2024-01-04,1.0,18.7,17.8
2024-01-05,0.0,21.6,15.9
2024-01-06,0.0,25.6,16.7
2024-01-07,0.0,30.2,21.4
2024-01-08,37.8,31.9,19.9
2024-01-09,25.6,26.2,15.5
2024-01-10,0.2,21.6,16.9
2024-01-11,0.0,29.9,17.5
2024-01-12,0.0,24.0,16.3
2024-01-13,0.0,24.2,19.1
2024-01-14,0.4,37.6,16.0
2024-01-15,0.0,20.6,17.2
2024-01-16,0.0,27.0,20.6
2024-01-17,8.2,37.2,19.0
2024-01-18,12.2,19.9,14.2
2024-01-19,0.2,19.3,14.7
2024-01-20,0.0,21.0,14.1
2024-01-21,0.0,23.0,15.8
2024-01-22,0.0,23.4,15.7
2024-01-23,0.0,28.0,12.8
2024-01-24,0.2,28.6,16.4
2024-01-25,0.0,30.0,17.4
2024-01-26,5.2,21.6,16.2
2024-01-27,0.0,26.8,12.1
2024-01-28,0.0,34.2,15.5
2024-01-29,0.0,23.8,16.9
2024-01-30,0.0,21.7,18.1
2024-01-31,0.0,22.2,15.6
2024-02-01,0.0,21.0,15.3
2024-02-02,0.0,21.3,15.7
2024-02-03,0.0,18.8,12.1
2024-02-04,0.0,20.7,15.2
2024-02-05,0.0,19.8,19.5
2024-02-06,1.0,20.9,16.0
2024-02-07,0.2,20.4,12.4
2024-02-08,0.0,22.2,14.6
2024-02-09,0.0,26.4,16.9
2024-02-10,0.0,26.7,15.1
2024-02-11,0.0,25.7,17.1
2024-02-12,0.0,20.7,18.7
2024-02-13,0.0,20.9,20.0
2024-02-14,1.2,22.2,14.4
2024-02-15,0.0,32.4,12.4
2024-02-16,0.0,37.2,12.8
2024-02-17,0.0,40.5,14.1
2024-02-18,0.0,24.9,15.4
2024-02-19,0.0,27.9,17.4
2024-02-20,0.0,24.0,16.2
2024-02-21,0.0,22.2,19.3
2024-02-22,0.0,30.6,21.5
2024-02-23,3.8,32.4,17.4
2024-02-24,0.0,32.3,16.0
2024-02-25,0.0,26.7,11.7
2024-02-26,0.0,23.4,16.7
2024-02-27,0.0,20.2,12.9
2024-02-28,0.0,17.6,16.6
2024-02-29,0.0,21.1,18.5
2024-03-01,0.0,21.7,14.4
2024-03-02,0.0,19.8,15.9
2024-03-03,0.0,31.4,12.8
2024-03-04,0.0,32.9,13.2
2024-03-05,0.0,25.3,11.8
2024-03-06,0.0,23.2,14.3
2024-03-07,0.0,19.4,16.9
2024-03-08,0.0,22.1,14.2
2024-03-09,0.0,24.0,16.9
2024-03-10,0.0,24.7,21.2
2024-03-11,0.0,20.7,20.5
2024-03-12,0.0,22.4,22.8
2024-03-13,1.2,30.5,17.2
2024-03-14,0.4,22.9,16.4
2024-03-15,0.0,28.5,15.7
2024-03-16,0.0,24.6,14.4
2024-03-17,0.0,36.2,17.1
2024-03-18,0.0,19.0,16.3
2024-03-19,0.0,20.8,19.7
2024-03-20,0.2,19.4,13.2
2024-03-21,0.2,22.8,9.4
2024-03-22,0.0,22.6,9.7
2024-03-23,0.0,21.6,11.9
2024-03-24,0.0,19.6,12.2
2024-03-25,0.0,19.9,14.3
2024-03-26,0.0,18.3,13.1
2024-03-27,0.6,20.9,14.8
2024-03-28,0.2,18.5,15.7
2024-03-29,0.0,19.1,10.6
2024-03-30,0.0,19.4,12.9
2024-03-31,0.0,16.4,13.5
2024-04-01,0.0,18.3,14.0
2024-04-02,53.2,22.6,14.6
2024-04-03,2.2,21.7,12.5
2024-04-04,5.2,18.4,9.5
2024-04-05,0.0,26.3,11.5
2024-04-06,0.0,19.9,13.9
2024-04-07,2.0,18.0,15.7
2024-04-08,2.8,15.5,13.3
2024-04-09,36.0,15.2,10.3
2024-04-10,2.4,19.1,11.7
2024-04-11,1.4,19.3,12.9
2024-04-12,2.0,22.8,12.2
2024-04-13,0.4,25.4,11.7
2024-04-14,0.0,21.2,10.5
2024-04-15,0.0,17.2,9.9
2024-04-16,0.2,20.7,11.7
2024-04-17,0.0,22.8,10.8
2024-04-18,4.0,17.5,11.4
2024-04-19,6.0,18.5,12.0
2024-04-20,0.2,19.0,8.5
2024-04-21,0.0,19.2,10.8
2024-04-22,0.0,19.0,6.9
2024-04-23,0.0,24.9,10.3
2024-04-24,5.6,25.9,10.8
2024-04-25,0.2,24.6,11.0
2024-04-26,0.0,22.6,12.3
2024-04-27,0.0,21.6,9.4
2024-04-28,0.0,15.9,7.9
2024-04-29,0.0,16.3,10.4
2024-04-30,0.0,18.1,10.5
2024-05-01,0.2,20.3,8.2
2024-05-02,0.0,15.7,8.3
2024-05-03,0.0,15.6,6.6
2024-05-04,0.0,17.9,5.9
2024-05-05,0.0,13.5,8.4
2024-05-06,0.0,13.4,9.6
2024-05-07,0.0,15.2,8.3
2024-05-08,0.0,16.5,10.2
