ACCIDENT_NO,ACCIDENT_DATE,SEVERITY,SPEED_ZONE,location
T20220000059,2022-01-01,3,80,"(-37.758575, 145.316211)"
T20220002574,2022-01-01,3,999,"(-37.799725, 144.789329)"
T20220000011,2022-01-01,3,70,"(-37.844734, 144.788766)"
T20220000041,2022-01-01,3,100,"(-37.269035, 145.458471)"
T20220001286,2022-01-01,3,999,"(-38.338641, 144.301917)"
T20220000111,2022-01-01,3,70,"(-37.84744, 144.67893)"
T20220000039,2022-01-01,3,50,"(-37.782585, 145.118045)"
T20220003468,2022-01-01,3,50,"(-37.907053, 144.631062)"
T20220000014,2022-01-01,2,50,"(-38.104797, 145.178091)"
T20220000009,2022-01-01,2,100,"(-38.247725, 145.826305)"
T20220002291,2022-01-01,3,80,"(-37.982174, 145.071351)"
T20220000054,2022-01-01,3,70,"(-37.689501, 144.95824)"
T20220000053,2022-01-01,2,50,"(-37.677346, 144.95861)"
T20220000051,2022-01-01,2,80,"(-35.920455, 145.640376)"
T20220000061,2022-01-01,2,50,"(-36.40314, 145.414127)"
T20220000021,2022-01-01,3,80,"(-37.691877, 144.959503)"
T20220000083,2022-01-01,3,50,"(-37.318695, 146.224378)"
T20220000081,2022-01-01,3,60,"(-38.475934, 145.946803)"
T20220000033,2022-01-01,1,60,"(-37.579709, 144.917199)"
T20220000029,2022-01-01,3,60,"(-37.901818, 145.03517)"
T20220000071,2022-01-01,3,80,"(-37.691704, 144.962806)"
T20220000981,2022-01-01,3,50,"(-36.654284, 144.156207)"
T20220024316,2022-01-01,3,50,"(-38.110182, 144.633489)"
T20220000915,2022-01-01,3,60,"(-38.09627, 145.469997)"
T20220000070,2022-01-01,2,100,"(-38.627784, 145.808653)"
T20220002649,2022-01-01,3,999,"(-38.009451, 145.121919)"
T20220000219,2022-01-01,3,999,"(-37.926058, 144.679562)"
T20220000096,2022-01-02,2,40,"(-37.848139, 144.973343)"
T20220000625,2022-01-02,3,999,"(-37.335675, 145.96155)"
T20220000077,2022-01-02,2,50,"(-38.115631, 144.323186)"
T20220000102,2022-01-02,2,60,"(-37.798882, 145.607406)"
T20220000106,2022-01-02,3,80,"(-37.900222, 145.233448)"
T20220000108,2022-01-02,3,100,"(-38.058119, 145.79119)"
T20220000073,2022-01-02,2,60,"(-37.817064, 144.738802)"
T20220000092,2022-01-02,2,60,"(-38.511894, 145.299391)"
T20220000109,2022-01-02,3,80,"(-38.003502, 145.251592)"
T20220000090,2022-01-02,3,60,"(-37.932021, 145.358235)"
T20220000117,2022-01-02,3,60,"(-38.366758, 144.863679)"
T20220000393,2022-01-02,3,50,"(-37.961041, 145.215105)"
T20220000086,2022-01-02,2,80,"(-38.373993, 145.078674)"
T20220000352,2022-01-02,3,50,"(-37.247544, 144.465878)"
T20220000130,2022-01-02,2,888,"(-36.904328, 146.332154)"
T20220000072,2022-01-02,2,80,"(-37.950305, 145.13863)"
