state_code, females_num, persons_num, lga_code17, median_female_age, state_name, median_persons_age, sex_ratio, percentage_person_aged_15_64, median_male_age, percentage_person_aged_0_14, percentage_person_aged_65_plus, males_num, lga_name17
"1 ",27246,52949,"10050",39.6,"New South Wales",38.4,94.3,63.1,36.9,19.4,17.6,25703,"Albury (C)"
"1 ",15739,30594,"10130",36.5,"New South Wales",35.6,94.4,65.4,34.6,18.1,16.5,14855,"Armidale Regional (A)"
"1 ",22505,43457,"10250",48.5,"New South Wales",47.2,93.1,58.3,45.8,16.9,24.8,20952,"Ballina (A)"
"1 ",1141,2341,"10300",40.6,"New South Wales",40.3,105.2,62.5,39.9,20.7,16.8,1200,"Balranald (A)"
"1 ",21292,42779,"10470",38.1,"New South Wales",36.5,100.9,64.2,35.1,19.8,16.1,21487,"Bathurst Regional (A)"
"1 ",85052,170089,"10500",35.8,"New South Wales",35.1,100.0,69.8,34.4,16.1,14.1,85037,"Bayside (A)"
"1 ",17371,34102,"10550",51.1,"New South Wales",50.8,96.3,58.3,50.4,15.9,25.8,16731,"Bega Valley (A)"
"1 ",6665,12946,"10600",48.8,"New South Wales",48.2,94.2,59.4,47.4,17.7,22.9,6281,"Bellingen (A)"
"1 ",4312,8664,"10650",49.0,"New South Wales",48.4,100.9,54.6,47.8,17.0,28.4,4352,"Berrigan (A)"
"1 ",178434,357479,"10750",34.0,"New South Wales",33.5,100.3,67.0,33.0,22.8,10.2,179045,"Blacktown (C)"
"1 ",2976,5985,"10800",42.7,"New South Wales",42.5,101.1,58.3,42.3,20.6,21.1,3009,"Bland (A)"
"1 ",3668,7344,"10850",42.1,"New South Wales",42.1,100.2,60.7,42.0,21.0,18.3,3676,"Blayney (A)"
"1 ",40510,78968,"10900",44.9,"New South Wales",43.7,94.9,62.0,42.3,18.6,19.4,38458,"Blue Mountains (C)"
"1 ",1326,2664,"10950",40.3,"New South Wales",40.7,100.9,60.3,41.3,21.2,18.5,1338,"Bogan (A)"
"1 ",1393,2695,"11150",34.7,"New South Wales",36.1,93.5,63.0,37.5,23.7,13.3,1302,"Bourke (A)"
"1 ",784,1670,"11200",34.5,"New South Wales",33.2,113.0,66.5,32.0,24.5,9.0,886,"Brewarrina (A)"
"1 ",9122,17873,"11250",45.2,"New South Wales",44.3,95.9,61.6,43.3,16.8,21.6,8751,"Broken Hill (C)"
"1 ",7275,14747,"14100",45.2,"New South Wales",42.5,102.7,60.2,38.9,19.1,20.7,7472,"Hunters Hill (A)"
"1 ",98747,194564,"14170",36.7,"New South Wales",36.3,97.0,72.8,35.9,15.1,12.1,95817,"Inner West (A)"
"1 ",8536,16815,"14200",42.4,"New South Wales",41.6,97.0,59.0,40.7,20.5,20.5,8279,"Inverell (A)"
"1 ",2767,6511,"14300",40.8,"New South Wales",39.1,135.3,66.9,38.2,17.5,15.6,3744,"Junee (A)"
"1 ",14610,29534,"14350",47.7,"New South Wales",46.9,102.1,58.9,46.3,17.6,23.5,14924,"Kempsey (A)"
"1 ",11424,22450,"14400",47.5,"New South Wales",46.1,96.5,59.6,44.6,17.3,23.1,11026,"Kiama (A)"
"1 ",64319,124444,"14500",42.1,"New South Wales",41.0,93.5,62.0,39.8,20.2,17.8,60125,"Ku-ring-gai (A)"
"1 ",4383,8979,"14550",49.7,"New South Wales",50.2,104.9,60.8,50.8,16.6,22.6,4596,"Kyogle (A)"
"1 ",3136,6225,"14600",38.5,"New South Wales",39.2,98.5,57.3,39.8,22.8,19.9,3089,"Lachlan (A)"
"1 ",103913,203376,"14650",43.1,"New South Wales",41.7,95.7,61.2,40.3,18.8,20.0,99463,"Lake Macquarie (C)"
"1 ",19568,38742,"14700",37.2,"New South Wales",36.3,98.0,68.0,35.3,18.5,13.5,19174,"Lane Cove (A)"
