ACCIDENT_NO,LATITUDE,LONGITUDE
T20220000059,-37.758575,145.316211
T20220002574,-37.799725,144.789329
T20220000011,-37.844734,144.788766
T20220000041,-37.269035,145.458471
T20220001286,-38.338641,144.301917
T20220000111,-37.84744,144.67893
T20220000039,-37.782585,145.118045
T20220003468,-37.907053,144.631062
T20220000014,-38.104797,145.178091
T20220000009,-38.247725,145.826305
T20220002291,-37.982174,145.071351
T20220000054,-37.689501,144.95824
T20220000053,-37.677346,144.95861
T20220000051,-35.920455,145.640376
T20220000061,-36.40314,145.414127
T20220000021,-37.691877,144.959503
T20220000083,-37.318695,146.224378
T20220000081,-38.475934,145.946803
T20220000033,-37.579709,144.917199
T20220000029,-37.901818,145.03517
T20220000071,-37.691704,144.962806
T20220000981,-36.654284,144.156207
T20220024316,-38.110182,144.633489
T20220000915,-38.09627,145.469997
T20220000070,-38.627784,145.808653
T20220002649,-38.009451,145.121919
T20220000219,-37.926058,144.679562
T20220000096,-37.848139,144.973343
T20220000625,-37.335675,145.96155
T20220000077,-38.115631,144.323186
T20220000102,-37.798882,145.607406
T20220000106,-37.900222,145.233448
T20220000108,-38.058119,145.79119
T20220000073,-37.817064,144.738802
T20220000092,-38.511894,145.299391
T20220000109,-38.003502,145.251592
T20220000090,-37.932021,145.358235
T20220000117,-38.366758,144.863679
T20220000393,-37.961041,145.215105
T20220000086,-38.373993,145.078674
T20220000352,-37.247544,144.465878
T20220000130,-36.904328,146.332154
T20220000072,-37.950305,145.13863
T20220000119,-37.677437,145.014368
T20220000131,-37.133962,147.945984
T20220000097,-37.660441,145.374086
T20220000094,-37.697835,145.058832
T20220000141,-37.886251,144.982589
T20220000118,-38.26788,144.524632
T20220000098,-37.759316,144.950326
T20220014054,-37.862828,144.709874
T20220001064,-37.057365,142.776176
T20220000741,-38.055317,145.243654
T20220000091,-37.797115,144.957887
T20220000089,-38.064321,145.38766
T20220000087,-37.593466,144.7077
T20220000142,-37.832086,145.352684
T20220000656,-37.4397,147.361487
