Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2024,01,01,12.6,1,Y
IDCJAC0011,086338,2024,01,02,16.9,1,Y
IDCJAC0011,086338,2024,01,03,17.8,1,Y
IDCJAC0011,086338,2024,01,04,17.8,1,Y
IDCJAC0011,086338,2024,01,05,15.9,1,Y
IDCJAC0011,086338,2024,01,06,16.7,1,Y
IDCJAC0011,086338,2024,01,07,21.4,1,Y
IDCJAC0011,086338,2024,01,08,19.9,1,Y
IDCJAC0011,086338,2024,01,09,15.5,1,Y
IDCJAC0011,086338,2024,01,10,16.9,1,Y
IDCJAC0011,086338,2024,01,11,17.5,1,Y
IDCJAC0011,086338,2024,01,12,16.3,1,Y
IDCJAC0011,086338,2024,01,13,19.1,1,Y
IDCJAC0011,086338,2024,01,14,16.0,1,Y
IDCJAC0011,086338,2024,01,15,17.2,1,Y
IDCJAC0011,086338,2024,01,16,20.6,1,Y
IDCJAC0011,086338,2024,01,17,19.0,1,Y
IDCJAC0011,086338,2024,01,18,14.2,1,Y
IDCJAC0011,086338,2024,01,19,14.7,1,Y
IDCJAC0011,086338,2024,01,20,14.1,1,Y
IDCJAC0011,086338,2024,01,21,15.8,1,Y
IDCJAC0011,086338,2024,01,22,15.7,1,Y
IDCJAC0011,086338,2024,01,23,12.8,1,Y
IDCJAC0011,086338,2024,01,24,16.4,1,Y
IDCJAC0011,086338,2024,01,25,17.4,1,Y
IDCJAC0011,086338,2024,01,26,16.2,1,Y
IDCJAC0011,086338,2024,01,27,12.1,1,Y
IDCJAC0011,086338,2024,01,28,15.5,1,Y
IDCJAC0011,086338,2024,01,29,16.9,1,Y
IDCJAC0011,086338,2024,01,30,18.1,1,Y
IDCJAC0011,086338,2024,01,31,15.6,1,Y
IDCJAC0011,086338,2024,02,01,15.3,1,N
IDCJAC0011,086338,2024,02,02,15.7,1,N
IDCJAC0011,086338,2024,02,03,12.1,1,N
IDCJAC0011,086338,2024,02,04,15.2,1,N
IDCJAC0011,086338,2024,02,05,19.5,1,N
IDCJAC0011,086338,2024,02,06,16.0,1,N
IDCJAC0011,086338,2024,02,07,12.4,1,N
IDCJAC0011,086338,2024,02,08,14.6,1,N
IDCJAC0011,086338,2024,02,09,16.9,1,N
IDCJAC0011,086338,2024,02,10,15.1,1,N
IDCJAC0011,086338,2024,02,11,17.1,1,N
IDCJAC0011,086338,2024,02,12,18.7,1,N
IDCJAC0011,086338,2024,02,13,20.0,1,N
IDCJAC0011,086338,2024,02,14,14.4,1,N
IDCJAC0011,086338,2024,02,15,12.4,1,N
IDCJAC0011,086338,2024,02,16,12.8,1,N
IDCJAC0011,086338,2024,02,17,14.1,1,N
IDCJAC0011,086338,2024,02,18,15.4,1,N
IDCJAC0011,086338,2024,02,19,17.4,1,N
