ACCIDENT_NO,LATITUDE,LONGITUDE,LOCATION
T20220000059,-37.758575,145.316211,YARRA RANGES
T20220002574,-37.799725,144.789329,BRIMBANK
T20220000011,-37.844734,144.788766,HOBSONS BAY
T20220000041,-37.269035,145.458471,MURRINDINDI
T20220001286,-38.338641,144.301917,SURF COAST
T20220000111,-37.84744,144.67893,WYNDHAM
T20220000039,-37.782585,145.118045,MANNINGHAM
T20220003468,-37.907053,144.631062,WYNDHAM
T20220000014,-38.104797,145.178091,FRANKSTON
T20220000009,-38.247725,145.826305,BAW BAW
T20220002291,-37.982174,145.071351,KINGSTON
T20220000054,-37.689501,144.95824,HUME
T20220000053,-37.677346,144.95861,HUME
T20220000051,-35.920455,145.640376,MOIRA
T20220000061,-36.40314,145.414127,GREATER SHEPPARTON
T20220000021,-37.691877,144.959503,MERRI-BEK
T20220000083,-37.318695,146.224378,MANSFIELD
T20220000081,-38.475934,145.946803,SOUTH GIPPSLAND
T20220000033,-37.579709,144.917199,HUME
T20220000029,-37.901818,145.03517,GLEN EIRA
T20220000071,-37.691704,144.962806,HUME
T20220000981,-36.654284,144.156207,GREATER BENDIGO
T20220024316,-38.110182,144.633489,GREATER GEELONG
T20220000915,-38.09627,145.469997,CARDINIA
T20220000070,-38.627784,145.808653,SOUTH GIPPSLAND
T20220002649,-38.009451,145.121919,KINGSTON
T20220000219,-37.926058,144.679562,WYNDHAM
T20220000096,-37.848139,144.973343,PORT PHILLIP
T20220000625,-37.335675,145.96155,MURRINDINDI
T20220000077,-38.115631,144.323186,GREATER GEELONG
T20220000102,-37.798882,145.607406,YARRA RANGES
T20220000106,-37.900222,145.233448,KNOX
T20220000108,-38.058119,145.79119,BAW BAW
T20220000073,-37.817064,144.738802,WYNDHAM
T20220000092,-38.511894,145.299391,UNKNOWN
T20220000109,-38.003502,145.251592,CASEY
T20220000090,-37.932021,145.358235,YARRA RANGES
T20220000117,-38.366758,144.863679,MORNINGTON PENINSULA
T20220000393,-37.961041,145.215105,GREATER DANDENONG
T20220000086,-38.373993,145.078674,MORNINGTON PENINSULA
T20220000352,-37.247544,144.465878,MACEDON RANGES
T20220000130,-36.904328,146.332154,WANGARATTA
T20220000072,-37.950305,145.13863,GREATER DANDENONG
T20220000119,-37.677437,145.014368,WHITTLESEA
T20220000131,-37.133962,147.945984,EAST GIPPSLAND
T20220000097,-37.660441,145.374086,YARRA RANGES
T20220000094,-37.697835,145.058832,WHITTLESEA
T20220000141,-37.886251,144.982589,PORT PHILLIP
